date,shift,cycles,pieces,mirror_armed
2026-07-28,B,2,1,0
2026-07-29,A,1,0,0
2026-07-29,B,8,4,0
2026-07-31,A,20,10,0
2026-07-31,B,240,120,0
2026-08-01,A,174,87,0
2026-08-01,B,34,17,0
2026-08-01,C,72,36,0
2026-08-03,A,80,40,0
2026-08-03,B,97,48,0
2026-08-03,C,94,47,0
2026-08-04,A,112,56,0
2026-08-04,B,7,3,0
2026-08-04,C,35,17,0
2026-08-05,A,24,12,0
2026-08-05,B,23,11,1
2026-08-05,C,14,7,1
2026-08-06,A,15,7,1
2026-08-06,B,67,33,0
2026-08-06,C,65,32,0
2026-08-07,A,29,14,0
2026-08-07,B,37,18,0
2026-08-07,C,11,5,0
2026-08-08,A,13,6,0
2026-08-08,B,12,6,0
2026-08-08,C,7,3,0
2026-08-10,A,67,33,0
2026-08-10,C,43,21,0
2026-08-11,A,46,23,1
2026-08-11,B,109,54,1
2026-08-11,C,167,83,0
2026-08-12,A,140,70,1
2026-08-12,B,127,63,0
2026-08-12,C,10,5,0
2026-08-13,A,41,20,0
2026-08-13,B,117,58,0
2026-08-13,C,129,64,0
2026-08-14,A,122,61,0
2026-08-14,B,144,72,0
2026-08-14,C,150,75,0
2026-08-17,A,100,50,0
2026-08-17,B,81,40,0
2026-08-17,C,140,70,0
2026-08-18,A,137,68,0
2026-08-18,B,140,70,0
2026-08-18,C,105,52,0
2026-08-19,A,89,44,1
2026-08-19,B,82,41,1
2026-08-19,C,86,43,1
2026-08-20,A,103,51,1
2026-08-20,B,106,53,1
2026-08-20,C,106,53,1
2026-08-21,A,108,54,1
2026-08-21,B,110,55,1
2026-08-21,C,103,51,1
2026-08-22,A,0,0,0
2026-08-22,B,0,0,0
2026-08-22,C,5,2,0
2026-08-24,A,0,0,0
2026-08-24,B,0,0,0
2026-08-24,C,12,6,0
2026-08-25,A,59,29,1
2026-08-25,B,22,11,1
2026-08-25,C,24,12,1
2026-08-26,A,23,11,1
2026-08-26,B,43,21,1
2026-08-26,C,74,37,1
2026-08-27,A,14,7,1
2026-08-27,B,40,20,1
2026-08-27,C,12,6,1
