date,program,cycles,pieces
2026-08-18,PFH_4_OD_2ND,12,6
2026-08-18,SPF_4_ID,201,100
2026-08-19,SPF_4_OD_2ND,2,1
2026-08-20,SPFH_4_OD_ROUGH,3,1
2026-08-20,SPF_4_OD_2ND,3,1
2026-08-21,SPFH_4_OD_ROUGH,3,1
2026-08-22,"SPFD_6""ID2NDSIDE",2,1
2026-08-22,SPFH_4_OD_ROUGH,1,0
2026-08-23,"SPFD_6""ID2NDSIDE",3,1
2026-08-24,"SPFD_6""ID2NDSIDE",82,41
2026-08-25,"SPFD_6""ID2NDSIDE",84,42
2026-08-25,SPFH_4_OD_ROUGH,1,0
2026-08-26,"SPFD_6""ID2NDSIDE",42,21
2026-08-26,SPFD_6_OD_ROUGH,3,1
2026-08-27,"SPFD_6""ID2NDSIDE",2,1
2026-08-27,SPFD_6_OD_ROUGH,2,1
2026-08-28,"SPFD_6""ID2NDSIDE",1,0
2026-08-29,"SPFD_6""ID2NDSIDE",1,0
2026-08-29,"SPFH_3""_ID_4L",2,1
2026-08-30,"SPFH_3""_ID_4L",6,3
2026-08-31,"SPFH_3""_ID_4L",1,0
2026-09-01,NEEL_BLOCK,1,0
2026-09-02,"SPFH_3""_ID_4L",152,76
2026-09-03,"SPFD_6""_OD_ROUGH",5,2
2026-09-03,"SPFH_3""_1ST_OD",53,26
2026-09-04,"SPFD_6""_ID_FINISH",2,1
2026-09-04,"SPFD_6""_OD_ROUGH",7,3
2026-09-05,"SPFD_6""_ID_FINISH",24,12
2026-09-05,SPFH_6_ID_FINISH,9,4
2026-09-06,SPFH_6_ID_FINISH,24,12
2026-09-07,SPFH_6_ID_FINISH,82,41
2026-09-08,SPFH_6_ID_FINISH,79,39
2026-09-10,"SPFH_3""_1ST_OD",47,23
2026-09-10,"SPFH_3""_ID__2_SIDE",8,4
2026-09-11,"SPFH_3""_ID__2_SIDE",271,135
2026-09-12,NEEL_BLOCK,4,2
2026-09-12,SPFD_6_OD_ROUGH,39,19
2026-09-12,"SPFH_3""_ID__2_SIDE",77,38
2026-09-12,SPFH_6_OD_ROUGH,40,20
